1911,196
1997,192
2040,187
2061,187
2088,185
2113,183
2140,181
1658,208
1572,217
1510,221
1476,223
1459,225
1447,225
1436,225
1431,226
1430,226
1432,225
1438,225
1448,225
1459,223
1472,223
1474,223
1430,225
1352,230
1275,235
1233,239
1192,243
1158,244
1133,246
1114,248
1111,248
1110,248
1114,248
1122,246
1132,246
1124,248
1075,252
1007,255
937,261
893,266
860,270
835,271
820,273
816,273
815,273
818,273
822,273
831,271
826,271
794,275
745,280
686,286
649,291
618,295
603,298
590,300
586,300
583,300
590,300
596,298
605,297
608,297
581,300
544,306
497,313
472,316
454,320
442,322
435,324
435,324
436,324
438,324
421,326
395,331
355,340
302,351
262,367
244,374
234,376
227,379
219,381
205,390
187,397
167,408
151,421
143,424
142,426
142,428
3007,104
3011,104
2952,113
2870,122
2865,124
2799,131
2793,131
2788,133
2782,133
2778,133
2773,135
2764,135
2751,136
2742,136
2730,138
2718,140
2702,140
2693,142
2681,144
2670,144
2652,145
2640,147
2625,147
2611,149
2600,151
2581,151
2566,153
2547,154
2527,156
2502,158
2475,160
2449,162
2428,163
2401,165
2383,165
2356,167
2333,169
2310,171
2286,172
2258,174
2243,174
2224,176
2201,178
2179,178
2162,180
2136,181
2126,181
2110,183
2093,185
2076,185
2053,187
2046,187
2032,189
2017,189
2006,190
1992,190
1986,190
1972,192
1949,194
1927,194
1909,196
1886,198
1861,198
1846,199
1821,201
1804,201
1791,203
1778,203
1764,205
1753,205
1747,205
1739,207
1725,207
1689,208
1664,210
1657,210
1650,212
1643,212
1643,212
1643,212
