3007,104
3011,104
2952,113
2870,122
2865,124
2799,131
2793,131
2788,133
2782,133
2778,133
2773,135
2764,135
2751,136
2742,136
2730,138
2718,140
2702,140
2693,142
2681,144
2670,144
2652,145
2640,147
2625,147
2611,149
2600,151
2581,151
2566,153
2547,154
2527,156
2502,158
2475,160
2449,162
2428,163
2401,165
2383,165
2356,167
2333,169
2310,171
2286,172
2258,174
2243,174
2224,176
2201,178
2179,178
2162,180
2136,181
2126,181
2110,183
2093,185
2076,185
2053,187
2046,187
2032,189
2017,189
2006,190
1992,190
1986,190
1972,192
1949,194
1927,194
1909,196
1886,198
1861,198
1846,199
1821,201
1804,201
1791,203
1778,203
1764,205
1753,205
1747,205
1739,207
1725,207
1689,208
1664,210
1657,210
1650,212
1643,212
1643,212
1643,212
