1911,196
1997,192
2040,187
2061,187
2088,185
2113,183
2140,181
1658,208
1572,217
1510,221
1476,223
1459,225
1447,225
1436,225
1431,226
1430,226
1432,225
1438,225
1448,225
1459,223
1472,223
1474,223
1430,225
1352,230
1275,235
1233,239
1192,243
1158,244
1133,246
1114,248
1111,248
1110,248
1114,248
1122,246
1132,246
1124,248
1075,252
1007,255
937,261
893,266
860,270
835,271
820,273
816,273
815,273
818,273
822,273
831,271
826,271
794,275
745,280
686,286
649,291
618,295
603,298
590,300
586,300
583,300
590,300
596,298
605,297
608,297
581,300
544,306
497,313
472,316
454,320
442,322
435,324
435,324
436,324
438,324
421,326
395,331
355,340
302,351
262,367
244,374
234,376
227,379
219,381
205,390
187,397
167,408
151,421
143,424
142,426
142,428
